model,status,ade_meters,fde_meters,rmse_meters,mae_meters,n_train,n_test,forecast_steps,metric_unit,unit_verified,train_seconds,inference_seconds,notes
constant_velocity,ok,306.5470334627461,659.5750679121155,691.5849346411763,195.59882594651788,43216,9262,15,haversine_meters,True,0.0,0.0016551017761230469,
linear_lstsq,ok,351.62295408203056,749.9748783407442,615.523911476211,223.2560040683574,43216,9262,15,haversine_meters,True,0.1360180377960205,0.006459236145019531,
lstm_baseline,ok,69926.434155866,67654.13467973549,233702.26477598527,42058.4212331303,43216,9262,15,haversine_meters,True,16.813938856124878,0.21209716796875,
transformer_baseline,ok,81626.71890193506,80757.47687569055,131464.729295995,48620.143788508605,43216,9262,15,haversine_meters,True,25.63956356048584,0.2701301574707031,
